title,region,version,crc32,status,notes
Sonic 2 Delta,,,74abb0af,Has problems,,
Sonic 2 Long Version,,1.8.1,EC4E86D0,Works,,
Sonic 2 Retro Remix,,Steam 2016,E02557F6,Works,,
Sonic 3 Complete,USA,130810,2BD564B1,Works,Patch,
Sonic 3 & Knuckles (Tails follows Knuckles),World,,AD9048BA,Works with patch,,
Sonic and Knuckles - Longjumps and Trained,,,FCD0F7E1,Doesn't work,E4: Please Shutdown,
Sonic and Knuckles & Sonic 1 - Tails in S&K,,,CF3A51A3,Doesn't work,Loads Sonic and Knuckles instead,
Sonic 3D Blast Directors Cut,,,9767E840,Works,"Patch Sonic 3D Blast ~ Sonic 3D Flickies' Island CRC: 44A2CA44 =HIPERLIGA��O(""https://ttjontt.wixsite.com/gamehut/downloads"",""Patch"")",
Sonic Classic Heroes,World,0.10.008a,C27093DA,Works,Patch,
Street Fighter 2 Turbo ,USA,[h1],A85491AE,Works,,
Tails in Sonic 1,,Hacking Contest 2007 Edition,0FB81B0D,Works,,
Tails in Sonic 1,,Bugfix 3,A55027F0,Works,,
Tails in Sonic 1,,v2.11 a1,8D8C7A69,Works,,
Tails in Sonic 1,,v2.11,F8294D70,Works,,
Tails in Sonic 1,,v1.1 BugFix,667D8873,Works,,
Tails in Sonic 1,,v1.1,00AF1B08,Works,,
Tails in Sonic 1,,v2,8B466BC3,Works,,
Ultimate Mortal Kombat Trilogy,USA,,D083DBBA,Doesn't work,Black Screen after Sega logo,
