title,region,version,versiondate,crc32,status,notes,,,,,,,,,,,,,,,,,
Davis Cup Tennis ~ Davis Cup World Tour,"USA, Europe",Beta,"June, 1993",7C6B0646,Works,,,,,,,,,,,,,,,,,,
Daze Before Christmas,Australia,Beta,,317C9491,Works,,,,,,,,,,,,,,,,,,
Death Duel,USA,Beta,1992-05-06,2F979365,Works,,,,,,,,,,,,,,,,,,
Demolition Man,"USA, Europe",Beta,,57FFAD7A,Doesn't work,Red Screen on boot,,,,,,,,,,,,,,,,,
Desert Demolition,"USA, Europe",Beta,1994-12-06,D27FE9E5,Doesn't work,,,,,,,,,,,,,,,,,,
Desert Demolition,"USA, Europe",Beta,1994-12-08,69AAEAB6,Works,,,,,,,,,,,,,,,,,,
Desert Demolition,"USA, Europe",Beta,1994-12-12,16F19283,Works,,,,,,,,,,,,,,,,,,
Desert Demolition,"USA, Europe",Beta Alt 1,1994-12-12,5DAD49D7,Doesn't work,,,,,,,,,,,,,,,,,,
Desert Demolition,"USA, Europe",Beta,1994-12-13,375DEE15,Works,,,,,,,,,,,,,,,,,,
Desert Demolition,"USA, Europe",Beta,1994-12-14,39F9F304,Works,,,,,,,,,,,,,,,,,,
Desert Demolition,"USA, Europe",Beta,1994-12-15,5109736A,Works,,,,,,,,,,,,,,,,,,
Desert Demolition,"USA, Europe",Beta,1994-12-16,573FABFB,Works,,,,,,,,,,,,,,,,,,
Desert Demolition,"USA, Europe",Beta,1994-12-19,B0ECE758,Works,,,,,,,,,,,,,,,,,,
Devilish,USA,Beta,1992-01-16,6C8EB5A2,Works,,,,,,,,,,,,,,,,,,
Dexstar,"USA, Europe",Beta,1994-08-12,4371F046,Works,,,,,,,,,,,,,,,,,,
Dexstar,"USA, Europe",Beta,1994-08-26,D0C74FDD,Works,,,,,,,,,,,,,,,,,,
Dominus,USA,Proto,,30006EBD,Works,,,,,,,,,,,,,,,,,,
Double Dragon II - The Revenge,Japan,Beta,1991-10-18,E11F8543,Works,,,,,,,,,,,,,,,,,,
Dr. Robotnik's Mean Bean Machine,USA,Beta,,4D0E5273,Works,,,,,,,,,,,,,,,,,,
Dragon's Lair,USA,Proto,"June, 1994",A33EB522,Works,Runs slowly,,,,,,,,,,,,,,,,,
Dynamite Duke,World,Beta,1990-06-21,7D2CD95C,Works,,,,,,,,,,,,,,,,,,
Dynamite Headdy,Japan,Beta,"April, 1994",5C25E934,Works,,,,,,,,,,,,,,,,,,
Dynamite Headdy,Japan,Beta,1994-06-14,971EF24C,Works,,,,,,,,,,,,,,,,,,
Dynamite Headdy,Japan,Beta,1994-06-16,F8A96719,Works,,,,,,,,,,,,,,,,,,
Dynamite Headdy,"USA, Europe",Beta,1994-06-22,61001EC8,Works,,,,,,,,,,,,,,,,,,
DynoBlaze,USA,Proto,,D625E584,Has problems,"Can't tell if the game is just ugly, or if it is not emulating at 100% accuracy",,,,,,,,,,,,,,,,,
Earnest Evans,USA,Beta,,11475FAC,Works,,,,,,,,,,,,,,,,,,
Earthworm Jim,USA,Beta,1994-07-28,24AA391B,Works,,,,,,,,,,,,,,,,,,
Earthworm Jim 2,Europe,Beta,1995-08-24,F92A931D,Works,Force PAL Version or it will reion lock,,,,,,,,,,,,,,,,,
Ecco - The Tides of Time,USA,Beta Earlier,,8DB60749,Works,,,,,,,,,,,,,,,,,,
Ecco - The Tides of Time,USA,Beta,1994-04-13,B5D64817,Works,,,,,,,,,,,,,,,,,,
Ecco - The Tides of Time,USA,Beta,1994-04-29,5AF83ECB,Works,,,,,,,,,,,,,,,,,,
Ecco Jr.,"USA, Australia",Beta,,3C517975,Works,,,,,,,,,,,,,,,,,,
Ecco the Dolphin,"USA, Europe, Korea",Beta -Rev A,1993-06-29,6FB62649,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-03-09,E3C2271E,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-04-18,BFA776EC,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-05-09,11727086,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-05-18,6E2666DE,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-05-23,EA344FD2,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-06-10,832F4CB4,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-06-07,3481E709,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-06-02,39F345C2,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-06-14,2BADB65B,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-06-18,3C4B1E9C,Works,,,,,,,,,,,,,,,,,,
Escape from Mars Starring Taz,USA,Beta,1994-06-20,F00F4203,Works,,,,,,,,,,,,,,,,,,
ESPN National Hockey Night,USA,Beta,,A427814A,Works,,,,,,,,,,,,,,,,,,
ESPN Speed World,USA,Beta,,AB12849A,Works,,,,,,,,,,,,,,,,,,
ESPN Sunday Night NFL,USA,Beta,,D13AECDC,Unplayable,Too many sprite issues,,,,,,,,,,,,,,,,,
Eternal Champions,Europe,Beta,,E0665F06,Works,,,,,,,,,,,,,,,,,,
Eternal Champions,"Japan, Korea",Beta,,C486B439,Works,,,,,,,,,,,,,,,,,,
European Club Soccer,Europe,Beta,1991-10-25,4E63F90A,Doesn't work,E4: Shutdown,,,,,,,,,,,,,,,,,
Ex-Ranza,Japan,Beta,,C642FDF4,Has problems,PLayer Control/Transformation seems buggy,,,,,,,,,,,,,,,,,
Exo Squad,USA,Beta,,70EDF964,Works,,,,,,,,,,,,,,,,,,
F-15 Strike Eagle II,USA,Beta,1992-07-13,FD4F5A01,Works,,,,,,,,,,,,,,,,,,
F-15 Strike Eagle II,USA,Sample,,DC5F07BA,Works,,,,,,,,,,,,,,,,,,
F-22 Interceptor,USA,Beta,,D6A880A4,Works,,,,,,,,,,,,,,,,,,
F1 - World Championship Edition,Europe,Beta,,2269ED6B,Works,Downscaled Screen,,,,,,,,,,,,,,,,,
F1 - World Championship Edition,USA,Proto 2,,5A72FCE8,Works,,,,,,,,,,,,,,,,,,
F1 - World Championship Edition,USA,Proto 1,,2613C005,Works,,,,,,,,,,,,,,,,,,
F1 Circus MD,USA,Proto Sega Channel,1991-12-28,CD1A1AD8,Works,,,,,,,,,,,,,,,,,,
Fido Dido,USA,Proto,,C6D4A240,Works,,,,,,,,,,,,,,,,,,
Final Blow,Japan,Beta,1990-01-16,A26E957D,Works,,,,,,,,,,,,,,,,,,
Flash Point,Japan,Proto,,0655074D,Works,,,,,,,,,,,,,,,,,,
Frog Dude,Europe,Proto,,C5E80CE2,Doesn't work,E3 Shutdown; E4 Shutdown,,,,,,,,,,,,,,,,,
Fun Car Rally,USA,Proto,,42E27845,Works,,,,,,,,,,,,,,,,,,
G-LOC - Air Battle,World,Beta,,175C7E63,Works,,,,,,,,,,,,,,,,,,
Gain Ground,Unknown,Beta,1990-07-27,F5C0B45F,Works,This is JU version,,,,,,,,,,,,,,,,,
Gauntlet,Japan,Beta,,7D478079,Works,,,,,,,,,,,,,,,,,,
Gauntlet IV,"USA, Europe",Beta,,F9D60510,Works,,,,,,,,,,,,,,,,,,
Ghostbusters,World,Rev A - Beta,1990-05-01,4FC33173,Works,,,,,,,,,,,,,,,,,,
Gods,USA,Beta,,2C06BB64,Works,,,,,,,,,,,,,,,,,,
Golden Axe,World,Beta,1989-11-22,3E640C09,Works,,,,,,,,,,,,,,,,,,
Golden Axe,World,Beta,1989-10-14,B01B26FF,Works,,,,,,,,,,,,,,,,,,
Golden Axe II,World,Beta,,E62EA1BB,Doesn't work,E4: Please Shutdown,,,,,,,,,,,,,,,,,
Growl,USA,Beta,1991-08-26,AA973DE7,Works,,,,,,,,,,,,,,,,,,
Gunstar Heroes,Japan,Sample,"April, 1993",6F90B502,Works,,,,,,,,,,,,,,,,,,
Hardwired,"USA, Europe",Beta,,A32006C7,Works,,,,,,,,,,,,,,,,,,
High Seas Havoc,USA,Beta,,89418D48,Works,,,,,,,,,,,,,,,,,,
Home Alone,"USA, Europe",Beta,"July, 1992",3A235FB9,Works,,,,,,,,,,,,,,,,,,
"Hybrid Front, The",Japan,Beta,,04F02687,Unplayable,"Game starts, but doesnt seem to get through the startup demo",,,,,,,,,,,,,,,,,
Hyper Dunk - The Playoff Edition,Japan,Beta,"February, 1994",DB124BBB,Works,,,,,,,,,,,,,,,,,,
"Incredible Crash Dummies, The","USA, Europe",Beta,,623A920F,Works,,,,,,,,,,,,,,,,,,
Instruments of Chaos Starring Young Indiana Jones,USA,Beta,"July, 1992",AD6C2050,Works,,,,,,,,,,,,,,,,,,
Instruments of Chaos Starring Young Indiana Jones,USA,Beta,1993-09-23,14443A29,Works,,,,,,,,,,,,,,,,,,
Instruments of Chaos Starring Young Indiana Jones,USA,Beta,1993-12-28,51CA641C,Works,,,,,,,,,,,,,,,,,,
Instruments of Chaos Starring Young Indiana Jones,USA,Beta Alt 1,1993-12-28,F285AD46,Works,,,,,,,,,,,,,,,,,,
Instruments of Chaos Starring Young Indiana Jones,USA,Beta,1993-12-29,94B02351,Works,,,,,,,,,,,,,,,,,,
Instruments of Chaos Starring Young Indiana Jones,USA,Beta,1994-01-01,263F1A4C,Works,,,,,,,,,,,,,,,,,,
Instruments of Chaos Starring Young Indiana Jones,USA,Beta,1994-01-03,3C46D83D,Works,,,,,,,,,,,,,,,,,,
Instruments of Chaos Starring Young Indiana Jones,USA,Beta,1994-01-26,F3498542,Works,,,,,,,,,,,,,,,,,,
Instruments of Chaos Starring Young Indiana Jones,USA,Beta,1994-01-27,F43112C3,Works,,,,,,,,,,,,,,,,,,
It Came from the Desert,USA,Proto,,25AFB4F7,Works,,,,,,,,,,,,,,,,,,
"Itchy & Scratchy Game, The",USA,Proto,,81B7725D,Works,,,,,,,,,,,,,,,,,,
